x    , approx1 , approx2 ,  approx3 , approx4 , euler , implicit , rk
0    , 0           , 0           , 0           , 0           , 0           , 0           , 0
0.05 , 4.16667e-05 , 4.16667e-05 , 4.16667e-05 , 4.16667e-05 , 4.15418e-05 , 4.17918e-05 , 4.16668e-05
0.1  , 0.000333333 , 0.000333335 , 0.000333335 , 0.000333335 , 0.000332835 , 0.000333835 , 0.000333335
0.15 , 0.001125    , 0.00112503  , 0.00112503  , 0.00112503  , 0.0011239   , 0.00112615  , 0.00112503
0.2  , 0.00266667  , 0.00266687  , 0.00266687  , 0.00266687  , 0.00266487  , 0.00266887  , 0.00266687
0.25 , 0.00520833  , 0.0052093   , 0.0052093   , 0.0052093   , 0.00520618  , 0.00521243  , 0.0052093
0.3  , 0.009       , 0.00900347  , 0.00900347  , 0.00900347  , 0.00899897  , 0.00900798  , 0.00900347
0.35 , 0.0142917   , 0.0143019   , 0.0143019   , 0.0143019   , 0.0142957   , 0.014308    , 0.0143019
0.4  , 0.0213333   , 0.0213593   , 0.0213594   , 0.0213594   , 0.0213513   , 0.0213674   , 0.0213594
0.45 , 0.030375    , 0.0304343   , 0.0304345   , 0.0304345   , 0.0304242   , 0.0304447   , 0.0304345
0.5  , 0.0416667   , 0.0417907   , 0.0417911   , 0.0417911   , 0.0417785   , 0.0418038   , 0.0417911
0.55 , 0.0554583   , 0.0557      , 0.0557013   , 0.0557013   , 0.0556859   , 0.0557168   , 0.0557013
0.6  , 0.072       , 0.0724443   , 0.0724478   , 0.0724479   , 0.0724293   , 0.0724664   , 0.0724479
0.65 , 0.0915417   , 0.0923198   , 0.0923282   , 0.0923283   , 0.0923063   , 0.0923503   , 0.0923283
0.7  , 0.114333    , 0.115641    , 0.11566     , 0.11566     , 0.115634    , 0.115686    , 0.11566
0.75 , 0.140625    , 0.142744    , 0.142785    , 0.142785    , 0.142755    , 0.142815    , 0.142785
0.8  , 0.170667    , 0.173995    , 0.174079    , 0.17408     , 0.174045    , 0.174115    , 0.17408
0.85 , 0.204708    , 0.209797    , 0.209959    , 0.209963    , 0.209923    , 0.210004    , 0.209963
0.9  , 0.243       , 0.250592    , 0.250897    , 0.250906    , 0.25086     , 0.250954    , 0.250907
0.95 , 0.285792    , 0.296876    , 0.297431    , 0.297452    , 0.297398    , 0.297507    , 0.297453
1    , 0.333333    , 0.349206    , 0.350185    , 0.35023     , 0.350169    , 0.350295    , 0.350232
1.05 , 0.385875    , 0.40821     , 0.40989     , 0.409985    , 0.409917    , 0.410062    , 0.409989
1.1  , 0.443667    , 0.474599    , 0.477414    , 0.477606    , 0.477533    , 0.477702    , 0.477617
1.15 , 0.506958    , 0.549181    , 0.553793    , 0.554174    , 0.554101    , 0.554299    , 0.5542
1.2  , 0.576       , 0.632876    , 0.640282    , 0.641016    , 0.64096     , 0.641193    , 0.641077
1.25 , 0.651042    , 0.72673     , 0.738407    , 0.739786    , 0.739786    , 0.740062    , 0.739924
1.3  , 0.732333    , 0.831934    , 0.850035    , 0.852572    , 0.852715    , 0.853045    , 0.85288
1.35 , 0.820125    , 0.949842    , 0.977468    , 0.982048    , 0.982517    , 0.982919    , 0.982718
1.4  , 0.914667    , 1.08199     , 1.12356     , 1.13168     , 1.13287     , 1.13336     , 1.13311
1.45 , 1.01621     , 1.23012     , 1.29185     , 1.30602     , 1.30874     , 1.30935     , 1.30904
1.5  , 1.125       , 1.39621     , 1.48677     , 1.51115     , 1.51705     , 1.51784     , 1.51745
1.55 , 1.24129     , 1.58247     , 1.71385     , 1.75523     , 1.76777     , 1.7688      , 1.76829
1.6  , 1.36533     , 1.79142     , 1.98002     , 2.04946     , 2.07572     , 2.07713     , 2.07642
1.65 , 1.49737     , 2.02588     , 2.29401     , 2.40932     , 2.46411     , 2.46609     , 2.4651
1.7  , 1.63767     , 2.289       , 2.66677     , 2.85646     , 2.97133     , 2.97426     , 2.9728
1.75 , 1.78646     , 2.58432     , 3.1121      , 3.42159     , 3.66602     , 3.67066     , 3.66834
1.8  , 1.944       , 2.91578     , 3.64736     , 4.14864     , 4.6841      , 4.69217     , 4.68813
1.85 , 2.11054     , 3.28777     , 4.29442     , 5.10121     , 6.33839     , 6.3547      , 6.34652
1.9  , 2.28633     , 3.70518     , 5.08081     , 6.37221     , 9.54567     , 9.58846     , 9.56699
1.95 , 2.47162     , 4.1734      , 6.04115     , 8.0986      , 18.6449     , 18.8513     , 18.7472
2    , 2.66667     , 4.69841     , 7.21899     , 10.4839     , 270.068     , 391.93      , 317.566
